rank_input,label,htf_bias,require_chart_trend,require_pattern,require_retest,require_ghost_sl_entry,session,trades,win_rate,return_pct,max_dd_pct,profit_factor,final_equity
1,bias=off|trend0|pat0|ret0|ghost0|sess=asia,off,False,False,False,False,asia,545,0.231193,-0.001173,0.002717,0.858584,9988.27
2,bias=off|trend0|pat0|ret0|ghost0|sess=london,off,False,False,False,False,london,557,0.228007,-0.001171,0.001524,0.863481,9988.29
3,bias=off|trend0|pat0|ret0|ghost0|sess=newyork,off,False,False,False,False,newyork,550,0.296364,0.0015,0.00137,1.194092,10015.0
4,bias=off|trend0|pat0|ret0|ghost0|sess=overlap,off,False,False,False,False,overlap,392,0.270408,0.000498,0.001467,1.087312,10004.98
5,bias=off|trend0|pat0|ret0|ghost0|sess=all,off,False,False,False,False,all,629,0.26868,0.000551,0.000914,1.060318,10005.51
6,bias=off|trend0|pat0|ret0|ghost1|sess=asia,off,False,False,False,True,asia,248,0.266129,0.000282,0.000757,1.07789,10002.82
7,bias=off|trend0|pat0|ret0|ghost1|sess=london,off,False,False,False,True,london,239,0.25523,0.0001,0.000887,1.028057,10001.0
8,bias=off|trend0|pat0|ret0|ghost1|sess=newyork,off,False,False,False,True,newyork,264,0.280303,0.000658,0.002965,1.173985,10006.58
9,bias=off|trend0|pat0|ret0|ghost1|sess=overlap,off,False,False,False,True,overlap,212,0.254717,9.8e-05,0.003054,1.031181,10000.98
10,bias=off|trend0|pat0|ret0|ghost1|sess=all,off,False,False,False,True,all,327,0.262997,0.00034,0.000745,1.070496,10003.4
11,bias=off|trend0|pat0|ret1|ghost0|sess=asia,off,False,False,True,False,asia,0,0.0,0.0,0.0,0.0,10000.0
12,bias=off|trend0|pat0|ret1|ghost0|sess=london,off,False,False,True,False,london,0,0.0,0.0,0.0,0.0,10000.0
13,bias=off|trend0|pat0|ret1|ghost0|sess=newyork,off,False,False,True,False,newyork,0,0.0,0.0,0.0,0.0,10000.0
14,bias=off|trend0|pat0|ret1|ghost0|sess=overlap,off,False,False,True,False,overlap,0,0.0,0.0,0.0,0.0,10000.0
15,bias=off|trend0|pat0|ret1|ghost0|sess=all,off,False,False,True,False,all,0,0.0,0.0,0.0,0.0,10000.0
16,bias=off|trend0|pat0|ret1|ghost1|sess=asia,off,False,False,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0
17,bias=off|trend0|pat0|ret1|ghost1|sess=london,off,False,False,True,True,london,0,0.0,0.0,0.0,0.0,10000.0
18,bias=off|trend0|pat0|ret1|ghost1|sess=newyork,off,False,False,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0
19,bias=off|trend0|pat0|ret1|ghost1|sess=overlap,off,False,False,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0
20,bias=off|trend0|pat0|ret1|ghost1|sess=all,off,False,False,True,True,all,0,0.0,0.0,0.0,0.0,10000.0
21,bias=off|trend0|pat1|ret0|ghost0|sess=asia,off,False,True,False,False,asia,276,0.221014,-0.000744,0.00112,0.826978,9992.56
22,bias=off|trend0|pat1|ret0|ghost0|sess=london,off,False,True,False,False,london,245,0.244898,-0.000121,0.001231,0.967253,9998.79
23,bias=off|trend0|pat1|ret0|ghost0|sess=newyork,off,False,True,False,False,newyork,253,0.296443,0.000741,0.00097,1.209135,10007.41
24,bias=off|trend0|pat1|ret0|ghost0|sess=overlap,off,False,True,False,False,overlap,142,0.253521,2e-05,0.001203,1.009296,10000.2
25,bias=off|trend0|pat1|ret0|ghost0|sess=all,off,False,True,False,False,all,453,0.247241,-0.000461,0.00202,0.932326,9995.39
26,bias=off|trend0|pat1|ret0|ghost1|sess=asia,off,False,True,False,True,asia,136,0.205882,-0.00048,0.000953,0.777794,9995.2
27,bias=off|trend0|pat1|ret0|ghost1|sess=london,off,False,True,False,True,london,133,0.308271,0.00062,0.000643,1.336882,10006.2
28,bias=off|trend0|pat1|ret0|ghost1|sess=newyork,off,False,True,False,True,newyork,108,0.12963,-0.00104,0.001285,0.446748,9989.6
29,bias=off|trend0|pat1|ret0|ghost1|sess=overlap,off,False,True,False,True,overlap,69,0.173913,-0.00042,0.000695,0.631539,9995.8
30,bias=off|trend0|pat1|ret0|ghost1|sess=all,off,False,True,False,True,all,196,0.336735,0.001361,0.000321,1.523057,10013.61
31,bias=off|trend0|pat1|ret1|ghost0|sess=asia,off,False,True,True,False,asia,0,0.0,0.0,0.0,0.0,10000.0
32,bias=off|trend0|pat1|ret1|ghost0|sess=london,off,False,True,True,False,london,0,0.0,0.0,0.0,0.0,10000.0
33,bias=off|trend0|pat1|ret1|ghost0|sess=newyork,off,False,True,True,False,newyork,0,0.0,0.0,0.0,0.0,10000.0
34,bias=off|trend0|pat1|ret1|ghost0|sess=overlap,off,False,True,True,False,overlap,0,0.0,0.0,0.0,0.0,10000.0
35,bias=off|trend0|pat1|ret1|ghost0|sess=all,off,False,True,True,False,all,0,0.0,0.0,0.0,0.0,10000.0
36,bias=off|trend0|pat1|ret1|ghost1|sess=asia,off,False,True,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0
37,bias=off|trend0|pat1|ret1|ghost1|sess=london,off,False,True,True,True,london,0,0.0,0.0,0.0,0.0,10000.0
38,bias=off|trend0|pat1|ret1|ghost1|sess=newyork,off,False,True,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0
39,bias=off|trend0|pat1|ret1|ghost1|sess=overlap,off,False,True,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0
40,bias=off|trend0|pat1|ret1|ghost1|sess=all,off,False,True,True,True,all,0,0.0,0.0,0.0,0.0,10000.0
41,bias=off|trend1|pat0|ret0|ghost0|sess=asia,off,True,False,False,False,asia,355,0.278873,0.000657,0.00107,1.129309,10006.57
42,bias=off|trend1|pat0|ret0|ghost0|sess=london,off,True,False,False,False,london,354,0.305085,0.001223,0.000676,1.24943,10012.23
43,bias=off|trend1|pat0|ret0|ghost0|sess=newyork,off,True,False,False,False,newyork,350,0.282857,0.000351,0.001404,1.070139,10003.51
44,bias=off|trend1|pat0|ret0|ghost0|sess=overlap,off,True,False,False,False,overlap,284,0.271127,0.000178,0.001197,1.043159,10001.78
45,bias=off|trend1|pat0|ret0|ghost0|sess=all,off,True,False,False,False,all,506,0.258893,2.6e-05,0.001096,1.003417,10000.26
46,bias=off|trend1|pat0|ret0|ghost1|sess=asia,off,True,False,False,True,asia,160,0.2625,0.00016,0.000633,1.06775,10001.6
47,bias=off|trend1|pat0|ret0|ghost1|sess=london,off,True,False,False,True,london,181,0.276243,0.00038,0.001299,1.145004,10003.8
48,bias=off|trend1|pat0|ret0|ghost1|sess=newyork,off,True,False,False,True,newyork,198,0.257576,0.000138,0.003003,1.04722,10001.38
