rank_input,label,htf_bias,require_chart_trend,require_pattern,require_retest,session,trades,win_rate,return_pct,max_dd_pct,profit_factor,final_equity,rank_pf
113,bias=weekly|trend1|pat1|ret0|sess=newyork,weekly,True,True,False,newyork,48,0.375,0.00044,0.000358,1.733258,10004.4,1
173,bias=4h|trend0|pat1|ret0|sess=newyork,4h,False,True,False,newyork,165,0.333333,0.001,0.001034,1.458426,10010.0,2
174,bias=4h|trend0|pat1|ret0|sess=overlap,4h,False,True,False,overlap,87,0.310345,0.0004,0.001148,1.338472,10004.0,3
133,bias=daily|trend0|pat1|ret0|sess=newyork,daily,False,True,False,newyork,145,0.317241,0.000597,0.001229,1.307418,10005.97,4
65,bias=pair|trend1|pat0|ret0|sess=all,pair,True,False,False,all,218,0.321,0.001,0.0,1.294,0.0,5
63,bias=pair|trend1|pat0|ret0|sess=newyork,pair,True,False,False,newyork,162,0.315,0.001,0.0,1.292,0.0,6
193,bias=4h|trend1|pat1|ret0|sess=newyork,4h,True,True,False,newyork,91,0.307692,0.00034,0.000464,1.269832,10003.4,7
22,bias=off|trend1|pat0|ret0|sess=london,off,True,False,False,london,354,0.305,0.001,0.0,1.249,0.0,8
183,bias=4h|trend1|pat0|ret0|sess=newyork,4h,True,False,False,newyork,248,0.310484,0.000842,0.001203,1.246174,10008.42,9
153,bias=daily|trend1|pat1|ret0|sess=newyork,daily,True,True,False,newyork,70,0.3,0.00024,0.000397,1.244871,10002.4,10
53,bias=pair|trend0|pat1|ret0|sess=newyork,pair,False,True,False,newyork,110,0.3,0.0,0.0,1.237,0.0,11
182,bias=4h|trend1|pat0|ret0|sess=london,4h,True,False,False,london,250,0.3,0.000741,0.000713,1.212964,10007.41,12
13,bias=off|trend0|pat1|ret0|sess=newyork,off,False,True,False,newyork,253,0.296,0.001,0.0,1.209,0.0,13
181,bias=4h|trend1|pat0|ret0|sess=asia,4h,True,False,False,asia,242,0.285124,0.000678,0.000805,1.197832,10006.78,14
143,bias=daily|trend1|pat0|ret0|sess=newyork,daily,True,False,False,newyork,208,0.298077,0.000564,0.001161,1.194254,10005.64,15
3,bias=off|trend0|pat0|ret0|sess=newyork,off,False,False,False,newyork,550,0.296,0.001,0.0,1.194,0.0,16
93,bias=weekly|trend0|pat1|ret0|sess=newyork,weekly,False,True,False,newyork,109,0.294,0.0,0.0,1.181,0.0,17
35,bias=off|trend1|pat1|ret0|sess=all,off,True,True,False,all,276,0.293,0.001,0.0,1.174,0.0,18
104,bias=weekly|trend1|pat0|ret0|sess=overlap,weekly,True,False,False,overlap,129,0.286822,0.000314,0.001343,1.172476,10003.14,19
103,bias=weekly|trend1|pat0|ret0|sess=newyork,weekly,True,False,False,newyork,165,0.290909,0.000366,0.000467,1.156264,10003.66,20
191,bias=4h|trend1|pat1|ret0|sess=asia,4h,True,True,False,asia,94,0.276596,0.0002,0.000295,1.14701,10002.0,21
33,bias=off|trend1|pat1|ret0|sess=newyork,off,True,True,False,newyork,127,0.283,0.0,0.0,1.143,0.0,22
144,bias=daily|trend1|pat0|ret0|sess=overlap,daily,True,False,False,overlap,159,0.289308,0.000314,0.001361,1.140136,10003.14,23
185,bias=4h|trend1|pat0|ret0|sess=all,4h,True,False,False,all,372,0.290323,0.000732,0.001988,1.139052,10007.32,24
145,bias=daily|trend1|pat0|ret0|sess=all,daily,True,False,False,all,286,0.286713,0.00055,0.001988,1.134882,10005.5,25
61,bias=pair|trend1|pat0|ret0|sess=asia,pair,True,False,False,asia,147,0.272,0.0,0.0,1.132,0.0,26
21,bias=off|trend1|pat0|ret0|sess=asia,off,True,False,False,asia,355,0.279,0.001,0.0,1.129,0.0,27
64,bias=pair|trend1|pat0|ret0|sess=overlap,pair,True,False,False,overlap,122,0.287,0.0,0.0,1.124,0.0,28
141,bias=daily|trend1|pat0|ret0|sess=asia,daily,True,False,False,asia,190,0.273684,0.000339,0.000357,1.123804,10003.39,29
184,bias=4h|trend1|pat0|ret0|sess=overlap,4h,True,False,False,overlap,200,0.295,0.000316,0.000479,1.112072,10003.16,30
41,bias=pair|trend0|pat0|ret0|sess=asia,pair,False,False,False,asia,266,0.274,0.0,0.0,1.106,0.0,31
164,bias=4h|trend0|pat0|ret0|sess=overlap,4h,False,False,False,overlap,290,0.27931,0.000396,0.000923,1.094749,10003.96,32
4,bias=off|trend0|pat0|ret0|sess=overlap,off,False,False,False,overlap,392,0.27,0.0,0.0,1.087,0.0,33
123,bias=daily|trend0|pat0|ret0|sess=newyork,daily,False,False,False,newyork,369,0.276423,0.000445,0.001081,1.083573,10004.45,34
105,bias=weekly|trend1|pat0|ret0|sess=all,weekly,True,False,False,all,248,0.278226,0.000274,0.001988,1.076499,10002.74,35
121,bias=daily|trend0|pat0|ret0|sess=asia,daily,False,False,False,asia,369,0.268293,0.000407,0.001043,1.075994,10004.07,36
73,bias=pair|trend1|pat1|ret0|sess=newyork,pair,True,True,False,newyork,55,0.273,0.0,0.0,1.075,0.0,37
23,bias=off|trend1|pat0|ret0|sess=newyork,off,True,False,False,newyork,350,0.283,0.0,0.0,1.07,0.0,38
5,bias=off|trend0|pat0|ret0|sess=all,off,False,False,False,all,629,0.269,0.001,0.0,1.06,0.0,39
83,bias=weekly|trend0|pat0|ret0|sess=newyork,weekly,False,False,False,newyork,331,0.275,0.0,0.0,1.06,0.0,40
134,bias=daily|trend0|pat1|ret0|sess=overlap,daily,False,True,False,overlap,80,0.2625,6e-05,0.001203,1.05133,10000.6,41
31,bias=off|trend1|pat1|ret0|sess=asia,off,True,True,False,asia,159,0.264,0.0,0.0,1.051,0.0,42
195,bias=4h|trend1|pat1|ret0|sess=all,4h,True,True,False,all,188,0.260638,0.000139,0.000608,1.050451,10001.39,43
54,bias=pair|trend0|pat1|ret0|sess=overlap,pair,False,True,False,overlap,55,0.255,0.0,0.0,1.049,0.0,44
24,bias=off|trend1|pat0|ret0|sess=overlap,off,True,False,False,overlap,284,0.271,0.0,0.0,1.043,0.0,45
155,bias=daily|trend1|pat1|ret0|sess=all,daily,True,True,False,all,149,0.255034,6e-05,0.000471,1.026984,10000.6,46
165,bias=4h|trend0|pat0|ret0|sess=all,4h,False,False,False,all,513,0.263158,0.00019,0.00127,1.025135,10001.9,47
163,bias=4h|trend0|pat0|ret0|sess=newyork,4h,False,False,False,newyork,385,0.264935,0.000121,0.000871,1.021365,10001.21,48
84,bias=weekly|trend0|pat0|ret0|sess=overlap,weekly,False,False,False,overlap,239,0.255,0.0,0.0,1.021,0.0,49
151,bias=daily|trend1|pat1|ret0|sess=asia,daily,True,True,False,asia,71,0.253521,2e-05,0.000521,1.018824,10000.2,50
14,bias=off|trend0|pat1|ret0|sess=overlap,off,False,True,False,overlap,142,0.254,0.0,0.0,1.009,0.0,51
85,bias=weekly|trend0|pat0|ret0|sess=all,weekly,False,False,False,all,412,0.26,0.0,0.0,1.008,0.0,52
162,bias=4h|trend0|pat0|ret0|sess=london,4h,False,False,False,london,369,0.260163,3.8e-05,0.001012,1.00692,10000.38,53
25,bias=off|trend1|pat0|ret0|sess=all,off,True,False,False,all,506,0.259,0.0,0.0,1.003,0.0,54
124,bias=daily|trend0|pat0|ret0|sess=overlap,daily,False,False,False,overlap,281,0.256228,-6e-06,0.00184,0.998584,9999.94,55
175,bias=4h|trend0|pat1|ret0|sess=all,4h,False,True,False,all,321,0.255452,-5.8e-05,0.002155,0.987868,9999.42,56
52,bias=pair|trend0|pat1|ret0|sess=london,pair,False,True,False,london,108,0.25,-0.0,0.0,0.975,0.0,57
12,bias=off|trend0|pat1|ret0|sess=london,off,False,True,False,london,245,0.245,-0.0,0.0,0.967,0.0,58
161,bias=4h|trend0|pat0|ret0|sess=asia,4h,False,False,False,asia,389,0.249357,-0.000285,0.001386,0.950781,9997.15,59
44,bias=pair|trend0|pat0|ret0|sess=overlap,pair,False,False,False,overlap,200,0.245,-0.0,0.0,0.944,0.0,60
15,bias=off|trend0|pat1|ret0|sess=all,off,False,True,False,all,453,0.247,-0.0,0.0,0.932,0.0,61
95,bias=weekly|trend0|pat1|ret0|sess=all,weekly,False,True,False,all,241,0.245,-0.0,0.0,0.928,0.0,62
43,bias=pair|trend0|pat0|ret0|sess=newyork,pair,False,False,False,newyork,272,0.246,-0.0,0.0,0.924,0.0,63
