symbol,level,kind,touches,recency
AUDUSD=X,0.6937218308448792,support,15101,17314
AUDUSD=X,0.6924248337745667,resistance,2522,17314
AUDUSD=X,0.6890848875045776,support,14829,17281
AUDUSD=X,0.700869083404541,resistance,2136,17102
EURGBP=X,0.866100013256073,support,13522,17242
EURGBP=X,0.8612599968910217,support,10356,17242
EURGBP=X,0.8562999963760376,support,8758,17242
EURGBP=X,0.8574100136756897,resistance,9897,17242
EURGBP=X,0.8629000186920166,resistance,7938,17178
EURJPY=X,184.8260040283203,support,16464,17234
EURJPY=X,183.927001953125,resistance,2574,17234
EURJPY=X,184.8249969482422,resistance,1619,17234
EURJPY=X,183.39500427246094,support,15063,17189
EURJPY=X,185.86000061035156,resistance,696,17165
EURUSD=X,1.1375269889831543,resistance,7108,17214
EURUSD=X,1.143379807472229,resistance,6636,17214
EURUSD=X,1.1384334564208984,support,10656,17181
EURUSD=X,1.1328877210617065,support,10233,17062
GBPJPY=X,215.56100463867188,support,17215,17222
GBPJPY=X,214.20799255371094,resistance,1029,17222
GBPJPY=X,213.1999969482422,resistance,1719,17222
GBPJPY=X,215.7729949951172,resistance,294,17222
GBPJPY=X,214.4010009765625,support,16778,17207
GBPJPY=X,213.2030029296875,support,16246,17110
GBPUSD=X,1.326470971107483,resistance,6934,17216
GBPUSD=X,1.3206549882888794,resistance,7523,17216
GBPUSD=X,1.3385447263717651,resistance,5404,17207
GBPUSD=X,1.329787254333496,support,11500,17183
GBPUSD=X,1.3184436559677124,support,10167,17109
NZDUSD=X,0.5696707367897034,resistance,15673,17305
NZDUSD=X,0.5666364431381226,resistance,16280,17305
NZDUSD=X,0.5728361010551453,resistance,15238,17295
NZDUSD=X,0.5691519975662231,support,1952,17285
NZDUSD=X,0.5663155317306519,support,1594,17272
NZDUSD=X,0.563316822052002,support,969,17213
USDCAD=X,1.4211000204086304,support,15662,17314
USDCAD=X,1.4140000343322754,support,15182,17300
USDCAD=X,1.4248100519180298,resistance,1872,17272
USDCHF=X,0.8086699843406677,support,6244,17158
USDCHF=X,0.8009399771690369,support,4905,17158
USDCHF=X,0.8047000169754028,resistance,12349,17158
USDCHF=X,0.8080499768257141,resistance,11693,17126
USDCHF=X,0.8139399886131287,resistance,10878,17009
USDJPY=X,161.26300048828125,support,16948,17119
USDJPY=X,162.01199340820312,support,17083,17119
USDJPY=X,161.62100219726562,resistance,364,17119
USDJPY=X,160.6199951171875,support,16719,17105
USDJPY=X,162.4040069580078,resistance,55,17079
